"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2020,1,6,"Gràcia",31,"la Vila de Gràcia","Usat. Milers d'euros","411.3"
2020,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Usat. Milers d'euros","335.2"
2020,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Usat. Milers d'euros","273.2"
2020,1,7,"Horta-Guinardó",34,"Can Baró","Usat. Milers d'euros","214.4"
2020,1,7,"Horta-Guinardó",35,"el Guinardó","Usat. Milers d'euros","242.9"
2020,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Usat. Milers d'euros","337.5"
2020,1,7,"Horta-Guinardó",37,"el Carmel","Usat. Milers d'euros","157.7"
2020,1,7,"Horta-Guinardó",38,"la Teixonera","Usat. Milers d'euros","154.2"
2020,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Usat. Milers d'euros","165.8"
2020,1,7,"Horta-Guinardó",40,"Montbau","Usat. Milers d'euros","197.8"
2020,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Usat. Milers d'euros","301.5"
2020,1,7,"Horta-Guinardó",42,"la Clota","Usat. Milers d'euros","N/A"
2020,1,7,"Horta-Guinardó",43,"Horta","Usat. Milers d'euros","240.6"
2020,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Usat. Milers d'euros","206.8"
2020,1,8,"Nou Barris",45,"Porta","Usat. Milers d'euros","223.0"
2020,1,8,"Nou Barris",46,"el Turó de la Peira","Usat. Milers d'euros","158.5"
2020,1,8,"Nou Barris",47,"Can Peguera","Usat. Milers d'euros","123.7"
2020,1,8,"Nou Barris",48,"la Guineueta","Usat. Milers d'euros","203.3"
2020,1,8,"Nou Barris",49,"Canyelles","Usat. Milers d'euros","180.0"
2020,1,8,"Nou Barris",50,"les Roquetes","Usat. Milers d'euros","173.1"
2020,1,8,"Nou Barris",51,"Verdun","Usat. Milers d'euros","159.7"
2020,1,8,"Nou Barris",52,"la Prosperitat","Usat. Milers d'euros","155.1"
2020,1,8,"Nou Barris",53,"la Trinitat Nova","Usat. Milers d'euros","99.1"
2020,1,8,"Nou Barris",54,"Torre Baró","Usat. Milers d'euros","N/A"
2020,1,8,"Nou Barris",55,"Ciutat Meridiana","Usat. Milers d'euros","104.5"
2020,1,8,"Nou Barris",56,"Vallbona","Usat. Milers d'euros","N/A"
2020,1,9,"Sant Andreu",57,"la Trinitat Vella","Usat. Milers d'euros","180.3"
2020,1,9,"Sant Andreu",58,"Baró de Viver","Usat. Milers d'euros","262.5"
2020,1,9,"Sant Andreu",59,"el Bon Pastor","Usat. Milers d'euros","128.8"
2020,1,9,"Sant Andreu",60,"Sant Andreu","Usat. Milers d'euros","242.8"
2020,1,9,"Sant Andreu",61,"la Sagrera","Usat. Milers d'euros","257.7"
2020,1,9,"Sant Andreu",62,"el Congrés i els Indians","Usat. Milers d'euros","247.1"
2020,1,9,"Sant Andreu",63,"Navas","Usat. Milers d'euros","353.2"
2020,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Usat. Milers d'euros","331.2"
2020,1,10,"Sant Martí",65,"el Clot","Usat. Milers d'euros","417.6"
2020,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Usat. Milers d'euros","438.3"
2020,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Usat. Milers d'euros","620.0"
2020,1,10,"Sant Martí",68,"el Poblenou","Usat. Milers d'euros","338.0"
2020,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Usat. Milers d'euros","768.8"
2020,1,10,"Sant Martí",70,"el Besòs i el Maresme","Usat. Milers d'euros","198.6"
2020,1,10,"Sant Martí",71,"Provençals del Poblenou","Usat. Milers d'euros","347.0"
2020,1,10,"Sant Martí",72,"Sant Martí de Provençals","Usat. Milers d'euros","291.4"
2020,1,10,"Sant Martí",73,"la Verneda i la Pau","Usat. Milers d'euros","164.4"
2020,1,1,"Ciutat Vella",1,"el Raval","Total. Euros/m2 construït","3777.5"
2020,1,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Euros/m2 construït","3754.5"
2020,1,1,"Ciutat Vella",3,"la Barceloneta","Total. Euros/m2 construït","4768.5"
2020,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Euros/m2 construït","4354.0"
2020,1,2,"Eixample",5,"el Fort Pienc","Total. Euros/m2 construït","4920.4"
2020,1,2,"Eixample",6,"la Sagrada Família","Total. Euros/m2 construït","4563.1"
2020,1,2,"Eixample",7,"la Dreta de l'Eixample","Total. Euros/m2 construït","4784.0"
2020,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Euros/m2 construït","4995.2"
2020,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Euros/m2 construït","5175.2"
2020,1,2,"Eixample",10,"Sant Antoni","Total. Euros/m2 construït","4056.6"
2020,1,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Euros/m2 construït","4433.4"
2020,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Euros/m2 construït","2085.3"
2020,1,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Euros/m2 construït","2807.7"
2020,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Euros/m2 construït","3616.8"
2020,1,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Euros/m2 construït","4053.0"
2020,1,3,"Sants-Montjuïc",16,"la Bordeta","Total. Euros/m2 construït","3287.8"
2020,1,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Euros/m2 construït","3644.8"
2020,1,3,"Sants-Montjuïc",18,"Sants","Total. Euros/m2 construït","4441.7"
2020,1,4,"Les Corts",19,"les Corts","Total. Euros/m2 construït","4870.7"
2020,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Euros/m2 construït","4477.2"
2020,1,4,"Les Corts",21,"Pedralbes","Total. Euros/m2 construït","7045.4"
2020,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Euros/m2 construït","1972.3"
2020,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Euros/m2 construït","6096.6"
2020,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Euros/m2 construït","5797.0"
2020,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Euros/m2 construït","4797.3"
2020,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Euros/m2 construït","5171.1"
2020,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Euros/m2 construït","5029.9"
2020,1,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Euros/m2 construït","3853.3"
2020,1,6,"Gràcia",29,"el Coll","Total. Euros/m2 construït","3328.9"
2020,1,6,"Gràcia",30,"la Salut","Total. Euros/m2 construït","4481.5"
2020,1,6,"Gràcia",31,"la Vila de Gràcia","Total. Euros/m2 construït","4807.2"
2020,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total. Euros/m2 construït","4238.3"
2020,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Total. Euros/m2 construït","3722.4"
2020,1,7,"Horta-Guinardó",34,"Can Baró","Total. Euros/m2 construït","3304.5"
2020,1,7,"Horta-Guinardó",35,"el Guinardó","Total. Euros/m2 construït","3576.7"
2020,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total. Euros/m2 construït","3283.3"
2020,1,7,"Horta-Guinardó",37,"el Carmel","Total. Euros/m2 construït","2541.6"
2020,1,7,"Horta-Guinardó",38,"la Teixonera","Total. Euros/m2 construït","2665.6"
2020,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Total. Euros/m2 construït","2125.8"
2020,1,7,"Horta-Guinardó",40,"Montbau","Total. Euros/m2 construït","2905.1"
2020,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Total. Euros/m2 construït","3325.4"
2020,1,7,"Horta-Guinardó",42,"la Clota","Total. Euros/m2 construït","N/A"
2020,1,7,"Horta-Guinardó",43,"Horta","Total. Euros/m2 construït","3560.3"
2020,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Total. Euros/m2 construït","3094.7"
2020,1,8,"Nou Barris",45,"Porta","Total. Euros/m2 construït","2713.2"
2020,1,8,"Nou Barris",46,"el Turó de la Peira","Total. Euros/m2 construït","2375.0"
2020,1,8,"Nou Barris",47,"Can Peguera","Total. Euros/m2 construït","1932.6"
2020,1,8,"Nou Barris",48,"la Guineueta","Total. Euros/m2 construït","2620.0"
2020,1,8,"Nou Barris",49,"Canyelles","Total. Euros/m2 construït","2222.2"
2020,1,8,"Nou Barris",50,"les Roquetes","Total. Euros/m2 construït","2614.9"
2020,1,8,"Nou Barris",51,"Verdun","Total. Euros/m2 construït","2599.1"
2020,1,8,"Nou Barris",52,"la Prosperitat","Total. Euros/m2 construït","2390.6"
2020,1,8,"Nou Barris",53,"la Trinitat Nova","Total. Euros/m2 construït","1715.7"
2020,1,8,"Nou Barris",54,"Torre Baró","Total. Euros/m2 construït","N/A"
2020,1,8,"Nou Barris",55,"Ciutat Meridiana","Total. Euros/m2 construït","1808.6"
2020,1,8,"Nou Barris",56,"Vallbona","Total. Euros/m2 construït","N/A"
2020,1,9,"Sant Andreu",57,"la Trinitat Vella","Total. Euros/m2 construït","2318.7"
2020,1,9,"Sant Andreu",58,"Baró de Viver","Total. Euros/m2 construït","3406.3"
2020,1,9,"Sant Andreu",59,"el Bon Pastor","Total. Euros/m2 construït","2122.7"
2020,1,9,"Sant Andreu",60,"Sant Andreu","Total. Euros/m2 construït","3159.2"
2020,1,9,"Sant Andreu",61,"la Sagrera","Total. Euros/m2 construït","3263.3"
2020,1,9,"Sant Andreu",62,"el Congrés i els Indians","Total. Euros/m2 construït","2836.0"
2020,1,9,"Sant Andreu",63,"Navas","Total. Euros/m2 construït","4709.8"
2020,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Total. Euros/m2 construït","4422.2"
2020,1,10,"Sant Martí",65,"el Clot","Total. Euros/m2 construït","4552.8"
2020,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Total. Euros/m2 construït","4844.2"
2020,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Total. Euros/m2 construït","4703.4"
2020,1,10,"Sant Martí",68,"el Poblenou","Total. Euros/m2 construït","5050.1"
2020,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Total. Euros/m2 construït","7880.6"
2020,1,10,"Sant Martí",70,"el Besòs i el Maresme","Total. Euros/m2 construït","2902.0"
2020,1,10,"Sant Martí",71,"Provençals del Poblenou","Total. Euros/m2 construït","4395.4"
2020,1,10,"Sant Martí",72,"Sant Martí de Provençals","Total. Euros/m2 construït","3562.1"
2020,1,10,"Sant Martí",73,"la Verneda i la Pau","Total. Euros/m2 construït","2494.5"
2020,1,1,"Ciutat Vella",1,"el Raval","Nou. Euros/m2 construït","N/A"
2020,1,1,"Ciutat Vella",2,"el Barri Gòtic","Nou. Euros/m2 construït","6516.1"
2020,1,1,"Ciutat Vella",3,"la Barceloneta","Nou. Euros/m2 construït","3463.4"
